gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER,cusip
147183,12840,2021-12-31,2022-09-30,2023-01-31,-5.245,2.103,-6.044,-10.000,-10.000,-7.903,-7.903,81.701,-2.985,,-77.770,-26.481,-32.387,-26.481,-89.610,-73.652,-0.123,-0.500,-0.180,,-0.500,-0.463,-0.500,-0.509,-0.321,-0.121,0.908,0.052,0.212,0.054,0.223,0.054,0.103,0.000,0.480,0.152,-1.260,0.756,0.715,0.116,-0.526,-0.544,-0.220,,0.835,0.057,0.321,0.197,0.493,-41.916,-17.872,0.144,0.396,0.396,3466.11,,0.005,0.105,16.054,0.006,0.007,,10.166,0.000,0.000,-0.234,0.633,,,LODE,20575030
147183,12840,2022-12-31,2022-12-31,2023-02-28,-2.053,2.194,-1.990,-0.720,-0.720,-0.476,-0.476,158.886,-2.336,,-258.14,-93.764,-114.70,-93.764,-262.57,-243.87,-0.147,-0.642,-0.241,,-0.642,-0.462,-0.642,-0.751,-0.372,-0.167,0.852,0.104,0.139,0.109,0.298,0.125,0.058,0.000,0.163,0.088,-0.526,0.252,0.724,0.150,-0.528,-0.383,-0.277,,1.507,0.123,0.437,0.150,0.815,-26.831,-12.366,0.080,0.973,0.973,11158.9,,0.002,0.033,25.045,0.003,0.003,,39.455,0.000,0.000,-0.298,0.528,,,LODE,20575030
147183,12840,2022-12-31,2022-12-31,2023-03-31,-2.488,2.194,-1.990,-0.822,-0.822,-0.544,-0.544,192.550,-2.831,,-258.14,-93.764,-114.70,-93.764,-262.57,-243.87,-0.147,-0.642,-0.241,,-0.642,-0.462,-0.642,-0.751,-0.372,-0.167,0.852,0.104,0.139,0.109,0.298,0.125,0.058,0.000,0.163,0.088,-0.526,0.252,0.724,0.150,-0.528,-0.383,-0.277,,1.507,0.123,0.437,0.150,0.815,-26.831,-12.366,0.080,0.973,0.973,11158.9,,0.002,0.033,25.045,0.003,0.003,,39.455,0.000,0.000,-0.298,0.639,,,LODE,20575030
147183,12840,2022-12-31,2022-12-31,2023-04-30,-3.764,2.194,-1.990,-1.244,-1.244,-0.823,-0.823,291.310,-4.284,,-258.14,-93.764,-114.70,-93.764,-262.57,-243.87,-0.147,-0.642,-0.241,,-0.642,-0.462,-0.642,-0.751,-0.372,-0.167,0.852,0.104,0.139,0.109,0.298,0.125,0.058,0.000,0.163,0.088,-0.526,0.252,0.724,0.150,-0.528,-0.383,-0.277,,1.507,0.123,0.437,0.150,0.815,-26.831,-12.366,0.080,0.973,0.973,11158.9,,0.002,0.033,25.045,0.003,0.003,,39.455,0.000,0.000,-0.298,0.967,,,LODE,20575030
147183,12840,2022-12-31,2023-03-31,2023-05-31,-5.264,1.524,-2.694,-13.948,-13.948,-10.767,-10.767,409.298,-5.212,,-293.76,-115.34,-138.21,-115.34,-297.88,-275.84,-0.158,-0.661,-0.252,,-0.661,-0.573,-0.661,-0.716,-0.361,-0.162,0.888,0.069,0.194,0.072,0.404,0.144,0.090,0.000,0.240,0.123,-0.760,0.644,0.755,0.107,-0.523,-0.356,-0.277,,1.137,0.078,0.409,0.188,0.727,-22.307,-10.966,0.119,0.629,0.629,12120.2,,0.001,0.030,22.773,0.002,0.002,,46.078,0.000,0.000,-0.299,1.221,,,LODE,20575030
147183,12840,2022-12-31,2023-03-31,2023-06-30,-6.259,1.524,-2.694,-16.584,-16.584,-12.802,-12.802,486.663,-6.197,,-293.76,-115.34,-138.21,-115.34,-297.88,-275.84,-0.158,-0.661,-0.252,,-0.661,-0.573,-0.661,-0.716,-0.361,-0.162,0.888,0.069,0.194,0.072,0.404,0.144,0.090,0.000,0.240,0.123,-0.760,0.644,0.755,0.107,-0.523,-0.356,-0.277,,1.137,0.078,0.409,0.188,0.727,-22.307,-10.966,0.119,0.629,0.629,12120.2,,0.001,0.030,22.773,0.002,0.002,,46.078,0.000,0.000,-0.299,1.452,,,LODE,20575030
147183,12840,2022-12-31,2023-03-31,2023-07-31,-4.997,1.524,-2.694,-13.241,-13.241,-10.221,-10.221,388.556,-4.948,,-293.76,-115.34,-138.21,-115.34,-297.88,-275.84,-0.158,-0.661,-0.252,,-0.661,-0.573,-0.661,-0.716,-0.361,-0.162,0.888,0.069,0.194,0.072,0.404,0.144,0.090,0.000,0.240,0.123,-0.760,0.644,0.755,0.107,-0.523,-0.356,-0.277,,1.137,0.078,0.409,0.188,0.727,-22.307,-10.966,0.119,0.629,0.629,12120.2,,0.001,0.030,22.773,0.002,0.002,,46.078,0.000,0.000,-0.299,1.159,,,LODE,20575030
147183,12840,2022-12-31,2023-06-30,2023-08-31,-3.222,0.643,-2.920,-13.964,-13.964,-9.310,-9.310,315.856,-3.881,,-271.63,-132.08,-157.15,-132.08,-274.16,-250.48,-0.164,-0.597,-0.284,,-0.597,-0.506,-0.597,-0.793,-0.351,-0.168,0.883,0.072,0.169,0.076,0.437,0.187,0.131,0.000,0.186,0.100,-0.596,0.571,0.780,0.096,-0.481,-0.297,-0.277,,1.382,0.082,0.449,0.169,0.855,-17.424,-10.659,0.167,0.774,0.774,14388.8,,0.001,0.025,26.240,0.002,0.002,,46.176,0.000,0.000,-0.238,0.886,-0.023,,LODE,20575030
147183,12840,2022-12-31,2023-06-30,2023-09-30,-3.377,0.643,-2.920,-14.639,-14.639,-9.760,-9.760,331.124,-4.069,,-271.63,-132.08,-157.15,-132.08,-274.16,-250.48,-0.164,-0.597,-0.284,,-0.597,-0.506,-0.597,-0.793,-0.351,-0.168,0.883,0.072,0.169,0.076,0.437,0.187,0.131,0.000,0.186,0.100,-0.596,0.571,0.780,0.096,-0.481,-0.297,-0.277,,1.382,0.082,0.449,0.169,0.855,-17.424,-10.659,0.167,0.774,0.774,14388.8,,0.001,0.025,26.240,0.002,0.002,,46.176,0.000,0.000,-0.238,0.929,-0.024,,LODE,20575030
147183,12840,2022-12-31,2023-06-30,2023-10-31,-3.690,0.643,-2.920,-15.000,-15.000,-10.000,-10.000,361.725,-4.445,,-271.63,-132.08,-157.15,-132.08,-274.16,-250.48,-0.164,-0.597,-0.284,,-0.597,-0.506,-0.597,-0.793,-0.351,-0.168,0.883,0.072,0.169,0.076,0.437,0.187,0.131,0.000,0.186,0.100,-0.596,0.571,0.780,0.096,-0.481,-0.297,-0.277,,1.382,0.082,0.449,0.169,0.855,-17.424,-10.659,0.167,0.774,0.774,14388.8,,0.001,0.025,26.240,0.002,0.002,,46.176,0.000,0.000,-0.238,1.015,-0.025,,LODE,20575030
