sample_set,policy,specification,var,coef,pval,t,nobs,unique_tickers,coef_p23,pval_p23,t_p23,nobs_old,unique_tickers_old,coef_diff_p25_minus_p23,pval_diff_p25_minus_p23
main_only,RFS2,single_mechanism,credit_market_expo_it,0.0954380700254812,0.530302997809085,0.627543550989934,815,11,0.0,,,815,11,0.0954380700254812,
main_only,RFS2,single_mechanism,demand_pull_expo_it,-0.1885251502262315,0.8917210037133466,-0.1361268476606421,815,11,0.0,,,815,11,-0.1885251502262315,
main_only,RFS2,single_mechanism,subsidy_expo_it,4.2820819396413725,0.8467875306839586,0.1932189087989644,815,11,0.0,,,815,11,4.2820819396413725,
main_plus_edge,RFS2,baseline,ExpoQuick_it,-0.0519542202518603,0.9115586288716784,-0.1110727859229368,2975,35,-0.0519542202518603,0.9115586288716784,-0.1110727859229368,2975,35,0.0,0.0
main_plus_edge,RFS2,joint_mechanism,compliance_expo_it,-2.314766522252881,0.1186702672707577,-1.5603793267188937,2975,35,-1.500816029709746e-15,0.0219559580697714,-2.2911289266775707,2975,35,-2.3147665222528797,0.09671430920098631
main_plus_edge,RFS2,joint_mechanism,credit_market_expo_it,0.1294480633932341,0.6708659588320158,0.4249598292250879,2975,35,3.731187115845642e-15,0.0656396755811193,1.8408763862178548,2975,35,0.12944806339323037,0.6052262832508966
main_plus_edge,RFS2,joint_mechanism,demand_pull_expo_it,0.4118540958241533,0.7850985314145189,0.272680882671733,2975,35,5.174475432127773e-16,0.286825362991538,1.065111749285854,2975,35,0.4118540958241528,0.4982731684229809
main_plus_edge,RFS2,joint_mechanism,subsidy_expo_it,108.72688965108163,0.207308967134249,1.26099966697253,2975,35,0.0,,,2975,35,108.72688965108163,
main_plus_edge,RFS2,single_mechanism,compliance_expo_it,-2.332095644745852,0.1331074254787316,-1.5019600542433198,2975,35,0.0,,,2975,35,-2.332095644745852,
main_plus_edge,RFS2,single_mechanism,credit_market_expo_it,0.2481385087705748,0.4194716477026733,0.8073382237609371,2975,35,0.0,,,2975,35,0.2481385087705748,
main_plus_edge,RFS2,single_mechanism,demand_pull_expo_it,-1.1048906850821203,0.5844172153185847,-0.5469439859691284,2975,35,0.0,,,2975,35,-1.1048906850821203,
main_plus_edge,RFS2,single_mechanism,subsidy_expo_it,129.02048372281556,0.1105377394484442,1.5957808088209824,2975,35,0.0,,,2975,35,129.02048372281556,
