sample_set,policy,specification,var,coef,pval,t,nobs,unique_tickers,coef_p22,pval_p22,t_p22,coef_diff_p23_minus_p22,pval_diff_p23_minus_p22
main_only,RFS2,single_mechanism,compliance_expo_it,0.0,,,815,11,-3.937753523242563,0.0369352954298682,-2.0864785587924835,3.937753523242563,
main_only,RFS2,single_mechanism,credit_market_expo_it,0.0,,,815,11,0.5558230809423162,0.6237659239358704,0.4905200804655733,-0.5558230809423162,
main_only,RFS2,single_mechanism,demand_pull_expo_it,0.0,,,815,11,-4.068160847514393,0.7358032743135816,-0.3374160670853043,4.068160847514393,
main_only,RFS2,joint_mechanism,subsidy_expo_it,0.0,,,815,11,-90.93027382843192,0.7802552123212745,-0.2789864644632294,90.93027382843192,
main_only,RFS2,joint_mechanism,compliance_expo_it,1.7252063047717677e-15,0.07040488053071431,1.8092969632454492,815,11,0.5202368128385013,0.8831207121805348,0.1470143266253392,-0.5202368128384995,-0.8127158316498204
main_only,RFS2,joint_mechanism,credit_market_expo_it,1.4522693154686907e-16,0.8109930184883524,0.23914516824726412,815,11,5.043687448811539,0.193185410669574,1.3012134267056366,-5.043687448811539,0.6178076078187784
main_only,RFS2,joint_mechanism,demand_pull_expo_it,-2.0804061990492066e-15,0.5264288299355186,-0.6334668379879275,815,11,-33.72030019402224,0.2337705225299188,-1.1907021781793945,33.72030019402224,0.29265830740559984
main_plus_edge,IRA,baseline,ExpoQuick_it,-0.21923270706083692,0.0005671022563622946,-3.446879121838328,3038,35,-0.2192327070608369,0.0005671022563622,-3.446879121838328,-2.7755575615628914e-17,9.454242944073599e-17
main_plus_edge,IRA,single_mechanism,subsidy_expo_it,-3.3284802792245167,0.25819736038682906,-1.130662049285277,3038,35,-15.455241885488809,0.3673078088718482,-0.9015277073684366,12.126761606264292,-0.10911044848501916
main_plus_edge,IRA,single_mechanism,compliance_expo_it,-1.3538070903162156,0.1314285998741723,-1.50849220632958,3038,35,-3.4028321422249754,0.0514497236354552,-1.9477095760662115,2.04902505190876,0.0799788762387171
main_plus_edge,IRA,single_mechanism,credit_market_expo_it,83.24900990450396,0.36252669495803846,0.910561061399693,3038,35,444.7973433976753,0.3847087998538078,0.869252934488529,-361.54833349317136,-0.022182104895769328
main_plus_edge,IRA,single_mechanism,demand_pull_expo_it,-0.37454076507269735,0.0005299773867078024,-3.4651289043715137,3038,35,-1.7139471388325502,0.0003235408962568,-3.5956835595960888,1.339406373759853,0.00020643649045100246
main_plus_edge,IRA,joint_mechanism,subsidy_expo_it,-3.422362109574688,0.3164732191431301,-1.0017316439670174,3038,35,-16.816445831236134,0.377834034832634,-0.8818941797034404,13.394083721661445,-0.06136081568950391
main_plus_edge,IRA,joint_mechanism,compliance_expo_it,0.6841143516398113,0.5354462714663176,0.6197137348301431,3038,35,0.5248232628194522,0.884460921872288,0.1453165836142781,0.15929108882035903,-0.34901465040597035
main_plus_edge,IRA,joint_mechanism,credit_market_expo_it,77.94381368184459,0.40313578451918963,0.8360339847517706,3038,35,402.36845391927534,0.4447380099928749,0.764216878249746,-324.42464023743076,-0.04160222547368525
main_plus_edge,IRA,joint_mechanism,demand_pull_expo_it,-0.4834496922864905,0.013039503975646361,-2.482688548836986,3038,35,-1.859254406362484,0.1647465364062292,-1.3892835751668584,1.3758047140759935,-0.15170703243058284
main_plus_edge,LCFS,baseline,ExpoQuick_it,-0.1761214023760992,0.14412474974981362,-1.460601808318296,3006,35,-0.1761214023760992,0.1441247497498136,-1.460601808318296,0.0,2.7755575615628914e-17
main_plus_edge,LCFS,single_mechanism,subsidy_expo_it,2732.5553173737594,0.28024624711380897,1.0797663324242908,3006,35,7.596653040563408,0.9536626449400694,0.058107946197188,2724.958664333196,-0.6734163978262604
